"","GSM4452207_ctrl1","GSM4452208_ctrl2","GSM4452209_ctrl3","GSM4452210_ctrl4","GSM4452211_k10_1","GSM4452212_k10_2","GSM4452213_k10_3","GSM4452214_k10_4","GSM4452215_k20_1","GSM4452216_k20_2","GSM4452217_k20_3","GSM4452230_30_4","GSM4452218_k20_4","GSM4452229_30_3","GSM4452228_30_2","GSM4452227_30_1","GSM4452226_15_4","GSM4452225_15_3","GSM4452224_15_2","GSM4452223_15_1","GSM4452221_0_3","GSM4452222_0_4","GSM4452219_0_1","GSM4452220_0_2"
"ENSMUSG00000027406.9",6.82767829593419,6.8540407878882,6.94578579964393,6.80689420849269,6.80915686540625,6.85553138708587,6.89063712614171,6.84472278697351,18.9315685693242,8.36546921539786,7.01440485930881,-6.9093761404188,6.90832719132776,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027408.7",5.05866656125077,5.07310694025102,5.13599623535086,5.1338649498578,4.85423754162188,5.01019810335167,4.96797676564342,4.84590494713143,18.9315685693242,5.55811429334026,3.55304814970526,2.04772590114348,3.35857534618221,3.17722489496323,3.30515113131676,3.18000580656265,2.4642800198169,3.97721091723728,4.06921040877907,3.99151410526484,4.30563613465535,4.09308055609778,4.19377643859855,4.21739450262884
"ENSMUSG00000027411.14",5.85473945433479,5.83542370488406,5.95604530825898,5.85530711203761,5.89043769898901,5.92943162857455,5.88516665667336,5.91286396507517,18.9315685693242,5.55811429334026,6.26606546227922,-6.9093761404188,6.21934479260081,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027412.9",0.433453807390767,0.290445574864362,0.127641987310428,0.307455640479129,-0.213367244143773,0.0662664754758616,-0.169780255346908,0.292628471638983,18.9315685693242,3.9731517926191,-0.143864194940502,-6.9093761404188,0.271905848389249,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027420.10",-1.5140787727151,-1.56370355867218,-1.48308360947581,-1.58112307685245,-1.50513336852088,-1.68664066255937,-1.91171210240646,-1.15147149324232,18.9315685693242,3.9731517926191,-0.911690752811469,-6.9093761404188,-1.26010777238295,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027422.12",9.39813338411641,9.4640784166362,9.35221999243691,9.42649140992145,9.42990463742781,9.38350513433115,9.23191301400452,9.38210724694014,18.9315685693242,9.01754591197756,8.84170671162039,-6.9093761404188,8.76454524639185,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027423.12",7.28358275313866,7.29881459252084,7.27927598130067,7.2908237736088,7.325682317406,7.42314163511747,7.39025705565787,7.35383232137975,18.9315685693242,7.14307679406142,7.69233647999693,-6.9093761404188,7.68010660568242,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027424.8",2.96704791702152,3.01662749331733,2.83689357904139,2.87653509959363,2.98782481789798,3.11114093279144,3.06161414626802,3.08582185627285,18.9315685693242,3.9731517926191,3.69743805904044,-6.9093761404188,3.64808196337719,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027425.15",4.72569021734132,4.76973852423222,4.75196031199905,4.71969322841678,4.711696097512,4.77096822047111,4.74846825822292,4.70939893814228,18.9315685693242,5.55811429334026,5.09620778682991,-6.9093761404188,4.93185174070228,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000027427.10",4.17708313183798,4.27178006525336,4.13956187093437,4.20589704625183,4.34683101658404,4.22647037094969,4.11371388885433,4.31935288036833,18.9315685693242,3.9731517926191,4.6395758290252,-6.9093761404188,4.439581909328,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
